Food_items,Breakfast,Lunch,Dinner,VegNovVeg,Indian,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars
Tandoori Chicken,0,1,0,1,1,370,22.5,37.9,2.7,496,234,480,33,13.7,1,19.4
Baked Brussels Sprouts,1,1,1,0,0,485,7.1,15.1,4.3,51,272,897,58,11.4,3,3.7
Vegetable Sambar,1,1,1,0,1,370,14.8,48.2,3.2,84,263,981,12,17.5,3,4.2
Chicken Saagwala,0,1,1,1,1,188,29.0,49.5,4.3,82,359,241,69,4.2,1,16.8
Keema Paratha (whole wheat),0,1,0,1,1,519,7.1,46.5,5.7,83,125,852,27,16.0,2,8.5
Ragi Chicken Soup,1,1,0,1,1,403,11.1,36.4,6.7,219,315,869,62,12.6,1,6.3
Tinda Sabzi,1,0,0,0,1,256,24.5,9.1,11.9,373,148,797,72,16.7,1,14.5
Lauki Soup,0,0,0,0,1,360,27.9,40.8,11.1,230,52,652,32,14.0,1,14.9
Methi Thepla,1,1,0,0,1,134,15.2,11.6,8.8,286,24,652,23,10.9,1,14.5
Turmeric Spiced Chicken,1,1,1,1,1,560,7.6,54.3,6.2,125,504,380,24,15.6,4,18.9
Chicken Avocado Salad,0,0,0,1,0,185,26.7,39.3,4.2,163,47,339,10,6.1,2,1.0
Rajma Salad,0,0,0,0,1,458,6.6,34.4,6.3,254,253,833,33,19.0,2,5.2
Ghiya Chana Dal,1,0,1,0,1,212,3.8,19.0,3.7,324,405,1101,68,13.0,2,8.8
Kale Chaat,0,0,1,0,1,324,19.8,42.4,6.8,247,435,396,77,3.5,4,5.5
Masala Grilled Fish,0,1,1,1,1,424,19.7,39.8,6.9,269,163,758,68,5.4,1,17.3
Shrimp and Quinoa Stir Fry,1,0,1,1,0,502,21.9,49.5,4.8,228,508,1078,49,9.0,2,16.9
Kadhi with Brown Rice,0,1,0,0,1,572,7.9,34.8,8.7,292,163,495,69,6.7,1,2.8
Baked Chicken Breast,1,0,0,1,0,259,19.7,23.6,4.8,333,227,553,33,9.3,1,13.2
Roasted Chickpeas,0,0,1,0,0,519,27.2,38.4,1.1,128,172,1063,75,14.5,4,19.9
Turkey Chili,1,0,1,1,0,388,15.8,14.8,5.0,421,154,550,42,11.8,3,8.0
Pumpkin Seed Energy Bites,0,1,1,0,0,257,29.2,26.6,10.8,312,46,375,30,11.0,4,13.7
Egg White Omelette,0,0,1,1,1,416,16.0,36.5,9.4,46,191,307,55,18.5,3,15.2
Zucchini Noodles,0,1,0,0,0,596,17.5,36.5,11.8,145,210,402,41,17.3,4,10.2
Chia-Crusted Fish,1,0,1,1,1,322,25.6,56.2,1.8,143,307,1003,32,4.5,3,6.6
Miso Glazed Salmon,1,0,1,1,0,516,5.8,44.0,7.1,199,557,1070,33,18.4,2,1.1
Greek Yogurt Bowl,1,0,1,0,0,420,4.0,26.8,1.6,400,490,983,41,12.4,2,7.2
Mutton Yakhni Soup,1,0,1,1,1,224,25.5,52.3,3.8,199,73,1152,69,7.9,4,15.6
Almond Butter on Whole Grain Toast,1,1,0,0,0,202,4.4,7.8,6.8,76,288,519,39,2.7,4,6.1
Carrot Halwa (with jaggery),1,1,0,0,1,445,2.7,57.9,10.2,422,77,783,10,10.0,4,11.4
Ceviche,1,0,1,1,0,336,9.8,57.5,9.1,476,266,303,25,4.9,2,1.3
Carrot Ginger Soup,1,1,0,0,0,146,3.1,52.1,8.7,233,237,623,57,16.5,4,4.3
Spinach and Ricotta Stuffed Peppers,1,0,0,0,0,349,19.2,39.9,1.5,252,461,918,78,14.3,4,2.3
