food_items,Breakfast,Lunch,Dinner,VegNovVeg,Indian,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars
Tandoori Chicken,0,1,0,1,1,429,15.0,46.0,24.0,2,201,116.0,8.5,2.8,0,0.7
Baked Brussels Sprouts,1,1,1,0,0,429,24.0,20.0,6.7,2,1,107.0,8.5,2.6,0,0.9
Vegetable Sambar,1,1,1,0,1,97,30.0,0.2,3.2,2,6,362.0,8.5,14.0,0,8.4
Chicken Saagwala,0,1,1,1,1,411,4.0,1.2,0.0,2,1,116.0,8.5,2.7,0,3.6
Keema Paratha (whole wheat),0,1,0,1,1,350,0.2,5.0,0.0,2,201,379.0,8.5,24.0,0,2.6
Ragi Chicken Soup,1,1,0,1,1,1,1.9,2.3,1.2,2,4,107.0,8.5,0.0,0,5.7
Tinda Sabzi,1,0,0,0,1,304,0.9,0.7,0.8,2,1,91.0,8.5,2.9,0,65.0
Lauki Soup,0,0,0,0,1,97,4.0,14.0,0.1,2,286,257.0,8.5,2.6,0,82.0
Methi Thepla,1,1,0,0,1,130,50.0,21.0,0.4,2,1,0.2,8.5,0.2,0,12.0
Turmeric Spiced Chicken,1,1,1,1,1,130,1.7,46.0,19.4,2,1,362.0,8.5,0.0,0,0.9
Chicken Avocado Salad,0,0,0,1,0,349,15.0,0.0,0.8,2,27,358.0,8.5,2.8,0,0.7
Rajma Salad,0,0,0,0,1,1,17.0,0.7,2.3,2,438,379.0,8.5,0.9,0,2.0
Ghiya Chana Dal,1,0,1,0,1,160,0.3,4.4,19.4,2,298,153.0,8.5,2.1,88,10.0
Kale Chaat,0,0,1,0,1,411,0.0,14.0,0.0,2,1,116.0,8.5,0.0,1,1.4
Masala Grilled Fish,0,1,1,1,1,550,6.9,18.0,0.4,2,329,212.0,8.5,7.1,0,4.9
Shrimp and Quinoa Stir Fry,1,0,1,1,0,331,0.2,1.2,0.8,2,5,485.0,8.5,0.0,0,9.8
Kadhi with Brown Rice,0,1,0,0,1,535,0.0,0.3,0.0,2,1,107.0,8.5,11.0,0,3.6
Baked Chicken Breast,1,0,0,1,0,381,0.1,0.0,0.6,2,457,107.0,8.5,14.0,0,10.0
Roasted Chickpeas,0,0,1,0,0,1,0.9,0.3,0.6,2,1531,0.2,8.5,7.1,1,0.1
Turkey Chili,1,0,1,1,0,535,1.4,13.0,2.6,2,1531,200.0,8.5,24.0,0,0.0
Pumpkin Seed Energy Bites,0,1,1,0,0,188,4.0,20.0,0.3,2,286,257.0,8.5,0.0,0,52.0
Egg White Omelette,0,0,1,1,1,151,1.9,10.0,24.0,2,4,485.0,8.5,1.1,0,82.0
Zucchini Noodles,0,1,0,0,0,331,0.4,0.3,0.2,2,329,152.0,8.5,3.4,0,0.7
Chia-Crusted Fish,1,0,1,1,1,16,0.1,4.5,17.2,2,286,362.0,8.5,34.0,0,0.0
Miso Glazed Salmon,1,0,1,1,0,2,34.0,0.7,3.7,2,3,51.0,8.5,11.0,0,0.0
Greek Yogurt Bowl,1,0,1,0,0,60,17.0,7.7,3.8,2,571,77.0,8.5,1.1,1,12.0
Mutton Yakhni Soup,1,0,1,1,1,89,0.3,5.0,0.8,2,6,358.0,8.5,0.0,0,2.0
Almond Butter on Whole Grain Toast,1,1,0,0,0,411,0.1,46.0,1.9,497,207,212.0,8.5,3.4,0,4.4
Carrot Halwa (with jaggery),1,1,0,0,1,130,0.2,0.3,0.2,2,1,212.0,8.5,3.3,0,12.0
Ceviche,1,0,1,1,0,97,0.2,0.0,0.0,2,298,50.0,8.5,2.7,0,2.2
Carrot Ginger Soup,1,1,0,0,0,1,1.4,7.7,24.0,2,1,660.0,8.5,2.0,286,0.0
Spinach and Ricotta Stuffed Peppers,1,0,0,0,0,97,1.9,2.0,0.5,2,27,358.0,8.5,2.0,1,35.0
Tomato Lentil Stew,0,1,0,0,0,97,2.4,22.0,0.6,2,1,9.0,8.5,0.9,0,5.7
Bajra Khichdi,0,1,1,0,1,57,17.0,17.0,0.0,5,9,362.0,8.5,3.3,1,3.6
Bulgur Wheat Salad,1,1,1,0,0,411,0.3,1.4,0.1,2,3,0.2,8.5,0.0,286,46.0
Mushroom Quinoa Risotto,1,0,0,0,0,553,1.9,2.6,19.4,2,79,212.0,8.5,14.0,0,0.5
Lean Beef Stir Fry,0,0,0,1,0,89,2.1,1.9,0.6,2,1,1129.0,8.5,0.0,0,0.4
Poached Eggs with Avocado,0,0,1,1,0,97,0.1,3.1,6.8,2,298,153.0,8.5,0.9,0,0.7
Grilled Salmon,0,1,0,1,0,57,0.1,0.3,2.4,2,52,91.0,8.5,2.7,0,46.0
Sattu Drink,1,0,1,0,1,32,0.3,7.7,24.0,2,1,3.3,8.5,3.4,0,5.7
